CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇÃO;QUANTIDADE;;FORNECEDOR;FAMILIA;OBSER;;;ENTRADA;SAIDA;
CODIGO;CODIGO EQUIVALENTE;LOCALIZAÇAO;QUANTIDADE;QTD;FORNECEDOR;FAMILIA;OBSER;Coluna9;DESCRICAO;ENTRADA;SAIDA;O
1492JG16;1492JG16;F 21;13;0;ALLEN BRADLEY;;;#N/D;;13;0;
1492JG50;1492JG50;F 20;4;0;ALLEN BRADLEY;;F\CX;#N/D;;4;0;
1492L2TW;1492L2TW;F 21;100;0;ALLEN BRADLEY;;;#N/D;;100;0;
1492L4G;1492L4G;F 21;150;0;ALLEN BRADLEY;;;#N/D;;150;0;
1492L4T;1492L4T;F 21;28;0;ALLEN BRADLEY;;;#N/D;;28;0;
1492-LD4DR;1492-LD4DR;F 21;56;0;ALLEN BRADLEY;;;#N/D;;56;0;
1492LG3Q;1492LG3Q;F 20;90;0;ALLEN BRADLEY;;;#N/D;;90;0;
1492LMG3;1492LMG3;F 21;18;0;ALLEN BRADLEY;;;#N/D;;18;0;
1492M7X12;1492M7X12;F 20;35;0;ALLEN BRADLEY;;;#N/D;;35;0;
1492M8X5;1492M8X5;F 20;55;0;ALLEN BRADLEY;;;#N/D;;55;0;
1492MCEA215;1492MCEA215;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492MS6X9HGND;1492MS6X9HGND;F 20;5;0;ALLEN BRADLEY;;;#N/D;;5;0;
1492MS8X9;1492MS8X9;F 20;6;0;ALLEN BRADLEY;;;#N/D;;6;0;
1492MS8X9H6170;1492MS8X9H6170;F 20;5;0;ALLEN BRADLEY;;;#N/D;;5;0;
1492N37;1492N37;F 21;10;0;ALLEN BRADLEY;;;#N/D;;10;0;
1492PD3C141;1492PD3C141;F 20;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492-PLOTPEN25;1492-PLOTPEN25;F 39;3;0;ALLEN BRADLEY;;CAIXA DANIFICADA;#N/D;;3;0;
1492RCD2A25;1492RCD2A25;F 40;10;0;ALLEN BRADLEY;;;#N/D;;10;0;
1492RCD4A25;1492RCD4A25;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492RCD4A80;1492RCD4A80;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SP1B400;1492SP1B400;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SP1C005;1492SP1C005;F 40;1;0;ALLEN BRADLEY;;F\CX;#N/D;;1;0;
1492SP1C040;1492SP1C040;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SP1C100;1492SP1C100;F 40;1;0;ALLEN BRADLEY;;F\CX;#N/D;;1;0;
1492SP1C150;1492SP1C150;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492SP1C200;1492SP1C200;F 40;17;0;ALLEN BRADLEY;;;#N/D;;17;0;
1492SP1C630;1492SP1C630;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SP2B630;1492SP2B630;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SP2C020;1492SP2C020;F 40;2;0;ALLEN BRADLEY;;;#N/D;;2;0;
1492SP2D150;1492SP2D150;F 40;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1492SP3C160N;1492SP3C160N;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SP3D250;1492SP3D250;F 40;3;0;ALLEN BRADLEY;;;#N/D;;3;0;
1492SP3D400;1492SP3D400;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SPM1B020;1492SPM1B020;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SPM1B040;1492SPM1B040;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SPM1B050N;1492SPM1B050N;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SPM1B200;1492SPM1B200;F 40;1;0;ALLEN BRADLEY;;;#N/D;;1;0;
1492SPM1C020;1492SPM1C020;F 40;42;0;ALLEN BRADLEY;;;#N/D;;42;0;
